Territory	Language	Language (English)	Vernacular Title	English Title	Home
Côte d'Ivoire	Nyaboa	Nyabwa	Nyaboa (Nyabwa)	Nyabwa NT	nwb
Côte d'Ivoire	Plapo Krumen	Plapo Krumen	Krumen, Plapo	Plapo Krumen NT	ktj
Côte d'Ivoire	Tepo Krumen	Tepo Krumen	Krumen, Tepo	Ted NT	ted
Côte d'Ivoire	Wè Northern	Wè Northern	Wè Northern	Wè Northern NT	wob
Côte d'Ivoire	Yaouré	Yaouré	Bali -le 'fluba 'trɛ Zozi blamin pli Bali man 'e 'pee	Yaouré NT	yreNT
Croatia	Hrvatski	Croatian	Sveta Biblija	Croatian Bible	hrv
Croatia	Hrvatski	Hrvatski	Biblica® Open Knjiga O Kristu	Croatian NT (Biblica)	hrvbib
Croatia	Ludari	Romanian	Luka	Ludari Luke	ronludari
Czech Republic	český	Czech	Bible Kralická 1613	Czech Kralická Bible 1613	ces1613
Czech Republic	Čeština	Czech	Biblica® Open Slovo na cestu	Czech Living New Testament	ceslb
Czech Republic	Češka	Czech	Nova Bible Kralicka	Czech NBK NT	cesnkb
Democratic Republic of the Congo	Fuliiru	Fuliiru	Kifuliiru	Fuliiru: Ibibiriya: Igambo lya Rurema mu ndeto ye'kifuliiru (Bible)	flr
Democratic Republic of the Congo	Havu	Havu	Nouveau Testament Havu	Havu NT	hav
Democratic Republic of the Congo	Kiyombi	Kiyombi	Biblica® Open Nkanda wu Moyo, Nguizani Yimona ayi Minkunga 2002	Yombe: Biblica® Open Nkanda wu Moyo, Nguizani Yimona ayi Minkunga 2002 (Bible)	yom
Democratic Republic of the Congo	Lika	Lika	AGɄMƐ WAMBƗYA	Lika: AGɄMƐ WAMBƗYA (New Testament+)	lik
Democratic Republic of the Congo	Lingála	Lingála	Biblica® Salela na bonsomi Mokanda na Bomoi	Lingala Bible	lin
Democratic Republic of the Congo	Lobala	Lobala	Lobala NT	Lobala NT	loq
Democratic Republic of the Congo	Logo	Logo	Logo (Logoti)	Logoti (Logo) NT	log
Democratic Republic of the Congo	Mayogo	Mayogo	Mayogo	Mayogo: Gandja na Mbɨa (New Testament)	mdm
Democratic Republic of the Congo	Mono	Mono	Mono	Mono New Testament	mnh
Democratic Republic of the Congo	Ndrǔna	Ngiti	Ndruna	Ndrǔna NT	niy
Democratic Republic of the Congo	Mashi	Shi	BIBLIYA NTAGATIFU OMU MASHI	Mashi Bible	shr
Democratic Republic of the Congo	Kitaabua	Taabwa	Kitaabua New Testament	Kitaabua NT	tap
Democratic Republic of the Congo	Yaka	Yaka	Yaka NT	Yaka NT	yaf
Democratic Republic of the Congo	Yansi	Yansi	Bible Iyansi	Yansi NT	yns
Denmark	Dansk	Danish	Hellig Bibel	Danish Bible 1931	dan1931
Ecuador	Chachi	Chachi	Diosa' kiika; Génesis, Éxodo y El Nuevo Testamento	Chachi Bible	cbiNTpo
Ecuador	Cofán	Cofán	Chiga Tevaen'Jema Atesuja 1, Aisheve Caña'cho	Cofán Bible	conNTpo
Ecuador	Colorado	Colorado	Diosichi Pila	Colorado NT	cofNT
Ecuador	Quichua, Northern Pastaza	Quichua, Northern Pastaza	Diospa shimi	Northern Pastaza Quichua NT	qvzNT
Ecuador	Salasakaguna	Salasakaguna	Diosbuj Shimi - Mushuj Testamento (Quichua, Salasaca)	Salasaca Highland Quichua NT	qxl
Ecuador	Secoya	Secoya	Maija'quë Huajë Ca Nëose'e	Secoya NT	seyNT
Ecuador	Shuar	Shuar	Yus Papí: Shuarja̱i̱ Yus Yamaram Chicham Najanamu	New Testament in Shuar	jivNT
Ecuador	Waorani	Waorani	Wængonguï nänö Apæ̈negaïnö	Waorani NT	aucNT
Egypt	العربية	Arabic	الكتاب المقدس باللغة العربية - الترجمة المبسطة	WBTC Arabic Bible	arbwbtc
Egypt	العربية	Arabic, Standard	Ketab El Hayat Majani/كتاب الحياة مجانى	New Arabic Version (Book of Life)	arbnav
Egypt	ⲘⲉⲧⲢⲉⲙ̀ⲛⲭⲏⲙⲓ	Coptic	القبطية البحيرية العهد الجديد	Coptic Boharic NT	copbhc
Egypt	ⲘⲉⲧⲢⲉⲙ̀ⲛⲭⲏⲙⲓ	Coptic	القبطية العهد الجديد	Coptic NT	copcnt
Egypt	ⲘⲉⲧⲢⲉⲙ̀ⲛⲭⲏⲙⲓ	Coptic	Sahidica - طبعة جديدة من العهد الجديد باللغة القبطية الصعيدية	Coptic Sahidic NT	copshc
Estonia	Eesti	Eestonian	Piibel Kõigile	Estonian Bible: Piibel Kõigile	ekkpkp
Estonia	Eesti	Estonian, Standard	Biblica® Vaba kasutusega Uus Testament, Pühakiri kaasaegses eesti keeles	Estonian Contemporary NT	ekk
Ethiopia	Alaba-K’abeena	Alaba-K'abeena	ሃዕሮ ወኣድ መጻፈ	Alaba-K’abeena NT	alw
Ethiopia	አማርኛ	Amharic	መጽሐፍ ቅዱስ	Amharic NT	amh
Ethiopia	Bayso	Baiso	Ammato Oɂusub	Baiso NT (Latin)	bswl
Ethiopia	Bayso	Baiso	አማቶ ኦኡሱብ	Baiso: አማቶ ኦኡሱብ (New Testament)	bswe
Ethiopia	Borni	Borna	Handr Taara	Borna NT Latin Version	bwo
Ethiopia	Dawro	Dawro	ጌሻ ማጻፋ	Dawro Bible (Ethoipic script)	dwrENT
Ethiopia	Dawro	Dawro	Ooratha Caaquwaa	Dawro NT (Latin script)	dwrNT
Ethiopia	Dawro	Dawro	Geeshsha Mas'aafaa	The Holy Bible in the Dawuro language of Ethiopia, Latin script	dwrl
Ethiopia	Gamotso	Gamo	ጌሻ ማጻፋ	Gamo Bible	gmve
Ethiopia	Gamotso	Gamo	Geeshsha Mexaafa	Gamo Bible (Latin)	gmvl
Ethiopia	Gamo	Gamo	Ooratha Caaqo Maxaafa Gamoththo	Gamo NT	gmvRNT
Ethiopia	Gamotso	Gamotso	Gamo Geesha Maxxafa New Testament	Gamo NT	gmvggm
Ethiopia	Gayil	Gayil	ክለ ጫቃ	Goyil NT	gyl
Ethiopia	Goofa	Gofa	Geeshsha Maxaafa	Gofa Bible Latin	gofl
Ethiopia	Goofa	Gofa	Gofa New Testament	Gofa NT	gofwftw
Ethiopia	Gofa	Gofa	ኦራꬃ ጫቁዋ ጎፋꬆ	Gofa NT (Ethiopic script)	gofENT
Ethiopia	Gofa	Gofa	Ooratha Caaquwa Goofatho	Gofa NT (Latin script)	gofRNT
Ethiopia	Goofa	Goofa	ጌሻ ማፃፋ	Gofa: ጌሻ ማፃፋ Bible	gofe
Ethiopia	gujii	gujii	Kitaaba Woyyuu	Guji Oromo Bible	gax
Ethiopia	Banna	Hamer-Banna	Haalin Mallano	Banna NT	amf
Ethiopia	Maale	Male	ጌኤዦ ማፃኣፖ	Maale Bible (Ethiopic script)	mdyeth
Ethiopia	Male	Male	Maale New Testament	Maale NT	mdybse
Ethiopia	Melo	Melo	Oroth Caaqo	Melo NT	mfxl
Ethiopia	Melo	Melo	ኦሮꬅ ጫቆ	Melo NT Ethiopic	mfxe
Ethiopia	Afaan Oromoo	Oromo, West Central	Kitaaba Qulqulluu, Biblica® Hiikkaa Ammayyaa Banamaa Haaraa, Loqoda Dhiʼaa	New Oromo Contemporary Version	gaz
Ethiopia	West Central Oromo	Oromo, West Central	ክታበ ቁልቁሉ, Biblica® ሂካ አመያ በነማ ሃራ, ሎቆደ ዽኣ	West Central Oromo Bible	gaze
Ethiopia	Oyda	Oyda	Kille Caaqo	Oyda NT Latin	oydl
Ethiopia	Oyda	Oyda	ክለ ጫቆ	Oyde NT Ethiopic	oyde
Ethiopia	Wolaytta	Wolaytta	Wolaytta Bible	Wolaytta Bible	wal
Ethiopia	Yemsa	Yemsa	ጋዶ ቴያ	Yemsa NT Ethiopic	jnje
Ethiopia	Yemsa	Yemsa	Gaddo Teyya	Yemsa NT Latin	jnjl
Finland	Suomi	Finnish	Biblica® Avoin Elävä uutinen: Uusi testamentti vapaasti kerrottuna	Finnish: Biblica® Avoin Elävä uutinen: Uusi testamentti vapaasti kerrottuna (New Testament)	fin
France	Brezhoneg	Breton	an Bibl	Breton Gospels	breBRG
France	français	French	Sainte Bible libre pour le monde	French Free Holy Bible for the World	frasbl
France	français	French	Louis Segond 1910	French Louis Segond 1910 Bible	fraLSG
France	français	French	Sainte Bible néo-Crampon Libre	French néo-Crampon Libre	francl
France	français	French	La Sainte Bible	French Ostervald Bible	fra_fob
France	Français	French	Bible J.N. Darby	French: Bible J.N. Darby	frajnd
Gabon	Yipunu	Yipunu	Mbembu Nzambi o Ipunu	Punu NT+	puu
Germany	Deutsch	German	Elberfelder Übersetzung (Version von bibelkommentare.de)	German ELBBK Bible	deuelbbk
Germany	Deutsch	German, Standard	Lutherbibel 1912	German Luther Bible 1912	deu1912
Germany	Deutsch	German, Standard	Die Schlachter-Bibel 1951	German Schlachter Bible 1951	deu1951
Germany	Deutsch	German, Standard	Textbibel von Kautzsch und Weizsäcker	German Textbibel	deutkw
Germany	Deutsch	German, Standard	Darby Unrevidierte Elberfelder	German Unrevised Elberfelder Bible	deuelo
Ghana	Anufo	Anufo	Nyεmε Jɔrε Kadasi	The New Testament in Anufo (Chokosi)	cko
Ghana	Bimoba	Bimoba	Yennu Gbouŋ Mɔɔr	Bimoba: Yennu Gbouŋ Mɔɔr Bible	bim
Ghana	Birifor, Southern	Birifor, Southern	A Nãaŋmɩn Nɛtɩr Oaalaa Gãn, Bɩrfʊɔr	Southern Birifor NT	biv
Ghana	Buli (Ghana)	Buli (Ghana)	Buli	Buli: The New Testament in the Buli language (Ghana) (New Testament)	bwu
Ghana	Chumburung	Chumburung	Abware̱se̱ŋ Wo̱re̱-ɔ	Chumburung NT	ncuNT
Ghana	Delo	Delo	WURUBURƐ NOMBIA KPAAKPAA NƆƆKEBAKESEE WƆLE	Delo NT	ntr
Ghana	eʋegbe	eʋegbe	Biblica® Se aɖeke mebla Biblia zazã o Agbenya La™	Éwé Bible	ewe
Ghana	Gikyode	Gikyode	GɛnÞ PobÞrÞ	The New Testament in the Gikyode language	acd
Ghana	Konkomba	Konkomba	Uwumbɔr aagbaŋ	Konkomba	xon
Ghana	Konni	Konni	Konni	Konni NT (Ghana)	kma
Ghana	Nawuri	Nawuri	Nawuri	Nawuri NT	naw
Ghana	Nkonya	Nkonya	Bulu ntam pɔpwɛ; Nkonya	New Testament in Nkonya (GH:nko:Nkonya)	nkoNT
Ghana	Sekpele	Sekpele	Sekpele	Sekpele NT	lip
Ghana	Selee	Selee	Selee	Selee NT	snw
Ghana	Sisaala, Tumulung	Sisaala, Tumulung	Yesu Kiristito Wu-Zɔŋŋɔɔ (Ghana)	Sisaala-Tumulunŋ NT Ghana	sil
Ghana	Sisaala-Paasaal	Sisaala-Paasaal	Sisaala-Paasaal	Paasaal NT	sig
Ghana	Siwu	Siwu	Siwu	Siwu NT	akp
Ghana	Tuwuli	Tuwuli	Tuwuli	Tuwuli NT	bov
Ghana	Akuapem Twi	Twi	Biblica® Wonhia ɛho kwamma nhoma Akuapem Twi Nkwa Asɛm	Akuapem Twi Bible	twi
Ghana	Twi	Twi	Biblica® Wɔnhia ɛho kwamma nwoma Asante Twi Nkwa Asɛm	Asante Twi Bible	twiasante
Greece	Ἑλληνική	Greek, Ancient	μετάφραση των εβδομήκοντα	Brenton Septuagint	grcbrent
Greece	Ελληνικά	Greek, Ancient	Η Καινή Διαθήκη	Byzantine Greek  NT	grcbyz
Greece	Ελληνικά	Greek, Ancient	Η Καινή Διαθήκη	Greek Majority Text NT	grcmt
Greece	Ελληνικά	Greek, Ancient	Η Καινή Διαθήκη	Greek NT Family 35	grcf35
Greece	Ελληνικά	Greek, Ancient	Η Καινή Διαθήκη	SBL Greek NT	grcsbl
Greece	Ελληνικά	Greek, Ancient	Η Καινή Διαθήκη	Solid Rock Greek New Testament	grcsr
Greece	Ελληνικά	Greek, Ancient	Η Καινή Διαθήκη	Text-Critical Greek NT	grctcgnt
Greece	Ελληνικά	Greek, Ancient	Η Καινή Διαθήκη	Textus Receptus	grctr
Greece	Ελληνικά	Greek, Ancient	Η Καινή Διαθήκη	Tischendorf Greek NT	grc-tisch
Guam	Chamorro	Chamorro	Y CUATRO EBANGELIO SIJA YAN Y CHECHO Y APOSTOLES  YAN Y SALMO SIJA	Chamorro Gospels, Acts, and Psalms	cha
Guatemala	Achi	Achi	Ri utzilaj tzij re ri kanimajawal Jesucristo	Achi Rabinal NT (new orthography)	acrNNT
Guatemala	Achi	Achi	Ri utzilaj tzij re ri kanimajawal Jesucristo	Achi Rabinal NT (traditional orthography)	acrTNT
Guatemala	Achi	Achi	I 'utz laj tzij re i dios	New Testament in Achi	acr-acc
Guatemala	Aguacateco	Aguacateco	Yi Antiw Bible / Yi Ac'aj Testament	Aguacateco Bible	aguBl
Guatemala	Akateko	Akateko	Ja' An Nuevo Testamento	Akateko NT	knjNT
Guatemala	Chortí	Chorti	Uyojroner e Dios xeꞌ Tzꞌijbꞌabꞌir Tama e Onian Tiempo	Chorti Bible	caa
Guatemala	Chuj de San Mateo Ixtatán	Chuj	A Ch'an Biblia D'a Chuj San Mateo	Chuj San Mateo Bible	cac
Guatemala	Ixil	Ixil	Viakʼla txumbʼal u tioxh	Ixil Cotzal NT	ixlCNT
Guatemala	Ixil	Ixil	U ak' Testamento tu kuyob'al	Ixil Nebaj NT	ixlNNT
Guatemala	Jakalteko	Jakalteko	Nuevo Testamento yin̈ abxubal	Eastern Jakalteko NT	jacNT
Guatemala	K'iche'	K'iche'	Ru Loqꞌ Pixabꞌ Ri Dios	K'iche' Cantel NT, new spelling	qucNNT
Guatemala	K'iche'	K'iche'	Ru Lokꞌ Pixab Ri Dios	K'iche' Cantel NT, traditional spelling	qucTNT
Guatemala	Qach’abel	K'iche'	RI KꞌAKꞌ TESTAMENTO PA TZIJOBꞌAL KꞌICHEꞌ	K’iche’ of Totonicapan NT	quctt
Guatemala	Kaqchikel,	Kaqchikel	RI DIOS NCH'O PA KACH'ABÜL CHEKE	Eastern Kaqchikel NT	cakENT
Guatemala	Kaqchikel	Kaqchikel	GT:cak:Kaqchikel	Kaqchikel Chimaltenango NT	cak
Guatemala	Kaqchikel	Kaqchikel	Ri C'ac'a Trato ri Xuben ri Dios Quiq'uin ri Vinek	Kaqchikel NT	cakCNT
Guatemala	Kaqchikel	Kaqchikel	Ri utzilaj rutzij ri Dios pa kachʼabel	Kaqchikel Sur de Sacatepequez NT	cakNT
Guatemala	Kaqchikel	Kaqchikel	Ri c'ac'ac' Testamento pa kach'ab'al	Santa Maria de Jesus Kaqchikel NT	cakSNT
Guatemala	Kaqchikel	Kaqchikel	Re C'ac'a Testamento pa Kach'abal	SW Yepocapa and Acatenango Kaqchikel NT	cakYNT
Guatemala	Kaqchikel	Kaqchikel	Ri C'ac'ac' Testamento pa Kach'abel	Western Solola Kaqchikel NT	cakWNT
Guatemala	Mam	Mam	Mam Central (Comitancillo)	Mam Comitancillo NT	mamC
Guatemala	Mam	Mam	Acʼaj testamento (El Nuevo testamento in Mam de Todos Santos)	Mam Todos Santos NT	mamNT
Guatemala	Poqomchi'	Poqomchi'	Reꞌ Lokꞌ Laj Hu̱j Wilic wi̱ꞌ Ribiral i Jesus	Poqomchi' Occidental NT	pohNT
Guatemala	Q'eqchi'	Q'eqchi'	Li Santil hu	Q'eqchi' Bible	kekNT
Guatemala	Tektiteko	Tektiteko	Te akʼaʼj tuʼjal tuj tuʼjal qtata Dios	Tektiteko NT	ttcNT
Guatemala	Tz'utujil	Tz'utujil	Cꞌacꞌ Chuminem	Eastern Tz'utujil NT	tzjE
Guatemala	Tz'utujil	Tz'utujil	Ja Cꞌacꞌa Chominem	Western Tz'utujil NT	tzjNT
Guatemala	Uspanteko	Uspanteko	Lok'laj Jyolj Kakaj Dios	Uspanteko NT	uspNT
Guinea	Baga Sitemu	Baga Sitemu	Kitabu ka Kanu	Baga Sitemu Bible Portions	bsp
Guinea	Pular	Pular	Version Pular Fuuta-Jallon	Pular Fuuta-Jallon New Testament	fuf
Guinea	Sankaran Maninka	Sankaran Maninka	Alla la Kitabu Seniman	Sankaran Maninka Bible Portions	msc
Guinea	Susu	Susu	Soso Kitaabuie: Tawureta, Yabura, Inyila	Susu Bible	sus
Guinea	Susu	Susu	Ala xa Kitaabui Sosoe bɛ	Susu Bible (Arabic script)	susa
Guinea	Toma	Toma	GALA Daawoo Zɛʋɛi	Toma Bible Portions	tod
Guinea	Yalunka	Yalunka	Kisin Kiraan Kitabuna	Yalunka Bible	yal
Guyana	Akawaio	Akawaio	Wakʉ Itekare: Emenna' Pe Ekonekan Nɨto'	Akawaio NT	akeNT
Guyana	Wapishana	Wapishana	Kaimana'o Tominkaru Paradan	Wapishana NT	wapNT
Haiti	Kreyòl Ayisyen	Haitian	Bib La	Haitian Creole Bible 1985	hat
Haiti	Kreyòl Ayisyen	Haitian	Bib Sen An	Haitian Creole Bible 2023	hatbsa
Honduras	Garifuna	Garifuna	Lerérun Búngiu To Lánina Iséri Darádu	Suau Bible	cabNT
Honduras	Tol	Tol	Dios Tjevele Jupj 'Üsüs La Qjuisiji Jesucristo Mpes	Tol NT	jicNT
Hungary	Magyar	Magyar	Biblica® Nyitott Újszövetség: élet, igazság és világosság	Hungarian Bible	hun
Iceland	Íslenska	Icelandic	Biblica® Opna Lifandi Orð Nýja testamentið og Sálmarnir™	Icelandic: Biblica® Opna Lifandi Orð Nýja testamentið og Sálmarnir™ (New Testament+)	isl
India	Aheri Gondi	Aheri Gondi	Pavitra Polle	Aheri Gondi: Besta Kabur (Bible)	esg
India	अहिराणी‎	Ahirani	प्रेम संदेश	Ahirani Matthew and Mark	ahr
India	অসমীয়া	Assamese	ইণ্ডিয়ান ৰিভাইচ ভাৰচন (IRV) আচামিচ - 2019	Assamese Indian Revised Version Bible	asmfb
India	Pali	Bareli, Palya	भगवान ना खरला बोल	Bareli, Palya: भगवान ना खरला बोल (Bible)	bpx
India	भद्रवाही‎	Bhadrawahi	भड्लाई बाइबिल	Bhadrawahi Bible	bhd
India	भटियाली‎	Bhattiyali	भटियाली नोआ नियम	Bhattiyali Bible	bht
India	Bhilali	Bhilali	भगवानेन छाचला बुल	Bhilali: भगवानेन छाचला बुल (Bible)	bhi
India	Bhumiya	Bhunjia	भगवान कर सच्चा बचन	Bhumiya Bible	bhu
India	ବଡ଼ ପରଜା	Bodo Parja	ସଃର୍ଗାର୍‌ ବାଟ୍‌ ନଃଉଁଆ ନିଅମ୍‌	Bodo Parja: BOPO Bible	bdv
India	Kho	Bugun	Iwo Surua Mua Wie Pha Bible	Bugun Bible	bgg
India	Chhattisgarhi	Chhattisgarhi	Biblica® सुतंतर समकालीन छत्तीसगढ़ी अनुवाद	Chhattisgarhi Bible	hne
India	Chongthu	Chin, Thado	PATHEN LEKHABU THENG	Chongthu Bible	tczchongthu
India	ଦେଶିଆ	Desiya	ସତିଅର୍‌ ବାଟ୍‌	Desiya NT	dso
India	Dhanki	Dhanki	परमेश्वरन सत्य वचन	Dhanki: परमेश्वरन सत्य वचन The New Testament in the Dhanki language of India, Devanagari script	dhn
India	Gamit	Gamit	ગામીત નોવો કરાર	Gamit Bible	gbl
India	Didayi	Gata'	ସତ୍‌ ଗାଲି	Gata Didayi NT	gaq
India	Gowlan	Gowlan	परमेश्वर को पवित्र वचन	Gowlan NT	goj
India	Gowli	Gowli	ದೆವಾಚಿ ಖರಿ ಕಬರ್	Gawli NT	gok
India	ગુજરાતી	Gujarati	પવિત્ર બાઇબલ	Gujarati Bible	guj2009
India	ગુજરાતી	Gujarati	ઇન્ડિયન રીવાઇઝ્ડ વર્ઝન ગુજરાતી - 2019	Gujarati Indian Revised Version Bible	guj2017
India	Halbi	Halbi	परमेस्वर को सच्चो वचन ख जाननू	Halbi NT	hlb
India	हरियाणवी‎	Haryanvi	हरियाणवी बाइबिल	Haryanvi Bible	bgc
India	हिन्दी	Hindi	Biblica® हिंदी समकालीन संस्करण-स्वतंत्र उपलब्धि	Hindi Contemporary Version Bible	hincv
India	हिंदी	Hindi	पवित्र बाइबल	Hindi Easy Reading Version	hin2010
India	मानक हिन्दी‎	Hindi	इंडियन रिवाइज्ड वर्जन (IRV) हिंदी - 2019	Hindi Indian Revised Version Bible	hin2017
India	Gohllaru	Holiya	परमेश्‍वर उन वचन	Holiya Bible	hoy
India	Hruso	Hruso	Aka (Hrusso) Bible	Hruso: Aka (Hrusso) Bible (Portions)	hru
India	Juray	Juray	ଆଜାଡ଼ି ତଙରନ୍‌	Juray: ଆଜାଡ଼ି ତଙରନ୍‌ (Bible)	juy
India	ಕನ್ನಡ	Kannada	Biblica® ಉಚಿತ ಕನ್ನಡ ಸಮಕಾಲಿಕ ಭಾಷಾಂತರ	Kanada Open Contemporary Version Bible	kanokcv
India	ಕನ್ನಡ	Kannada	ಪವಿತ್ರ ಬೈಬಲ್, ಈಸಿ ಓದುವಿಕೆ ಆವೃತ್ತಿ	Kannada Easy Reading Version	kan2010
India	ಕನ್ನಡ	Kannada	ಇಂಡಿಯನ್ ರಿವೈಜ್ಡ್ ವರ್ಸನ್ (IRV) - ಕನ್ನಡ - 2019	Kannada Indian Revised Version Bible	kanirv
India	Southeastern Kolami	Kolami, Southeastern	కొత్త కరార్	Kolami, Southeastern: కొత్త కరార్ (Bible)	nit
India	Konda-Dora	Konda-Dora	Konda: కొండ బాసదు నెగ్గి కబ్రు	Konda NT	kfc
India	Konda Porja	Konda-Dora	ମାପୁରୁଦି ସତ୍‌ ବାକ୍ୟ	The New Testament in the Konda Porja Language of India. Konda-Dora: ମାପୁରୁଦି ସତ୍‌ ବାକ୍ୟ (Bible)	kfcp
India	Koya	Koya	ପୁନାଦ୍ ଆର୍ର୍	Koya NT	kff
India	Kupia	Kupia	Kupia	Kupia NT	key
India	కువి	Kuvi	ପୁଃନି ମେ଼ରା	The New Testament in the Kuvi language of India: ପୁଃନି ମେ଼ରା (Bible)	kxv
India	Kusaal	Kuvi	ପୁଃନି ମେ଼ରା	The New Testament the Kusaal language (Ghana)	kus
India	Ladakhi	Ladakhi	Ladakhi	Ladakhi Bible	lbj
India	Lodha	Lodhi	जीवन को वचन	Lodhi NT	lbm
India	Maithili	Maithili	Maithili	Maithili: jivən səndesh (New Testament)	mai
India	മലയാളം	Malayalam	മലയാളം സത്യവേദപുസ്തകം 1910 - പരിഷ്കരിച്ച പതിപ്പ്, സമകാലിക ലിപിയിൽ	Malayalam 1910  Contemporary Orthography	mal2015
India	മലയാളം	Malayalam	ഇന്ത്യൻ റിവൈസ്ഡ് വേർഷൻ (IRV) - മലയാളം	Malayalam Indian Revised Version Bible	mal
India	मराठी	Marathi	इंडियन रीवाइज्ड वर्जन (IRV) - मराठी	Marathi Indian Revised Version Bible	mar
India	Maria	Maria	Hill Madia	Hill Madia standard translation	mrr
India	মৈতৈলোন্‎ (Meiteilon)	Meitei	ANOUBA WAREPNABA	Meitei Bible	mni
India	মুন্ডা‎ (Muɳɖa)	Munda	ପାର୍‌ମେଶ୍ୱାର୍‌ଆଃ ଜୀନିଦ୍‌ ବାଚାନ୍‌	Munda NT	unx
India	Nagamiz	Naga Pidgin	Indian Standard Version (ISV) Nagamese	Nagamese NT	nag
India	Kharam	Naga, Kharam	The New Testament in Kharam	Kharam NT	kfw
India	Totcha	Naga, Tutsa	Esa Leedap Ena Banlam	Tutsa Naga NT	tvt
India	Nahali	Nahali	खेरलो वचन	Nahali: खेरलो वचन (Bible)	nlx
India	ଓଡ଼ିଆ‎	Oriya	ଇଣ୍ଡିୟାନ ରିୱାଇସ୍ଡ୍ ୱରସନ୍ ଓଡିଆ	Oriya Indian Revised Version Bible	ory
India	Mahasui	Pahari, Mahasu	बघल्याणी  नवां विधान	Baghlayani Bible	bfz
India	ਪੰਜਾਬੀ	Panjabi, Eastern	ਇੰਡਿਅਨ ਰਿਵਾਇਜ਼ਡ ਵਰਜ਼ਨ (IRV) - ਪੰਜਾਬੀ	Punjabi Indian Revised Version Bible	pan
India	Pengu	Pengo	ସତ୍‌ ବଚନ୍‌	Pengo NT	peg
India	Powari	Powari	सत मारग पर चलन वारो किताब	Powari NT	pwr
India	Purum	Purum	Mark Ning Amije Chongkahoi	First Purum Bible Translation	pub
India	Relli	Reli	సొత్తొ పురువురొ పవిత్రొ కొత	Reli Bible	rei
India	Sakechep	Sakachep	Pathien Lekhabu Inthieng Chongtung Thar	Sakachep NT	sch
India	Saṃskṛtam	Saṃskṛtam	Sanskrit Bible (NT) in Kannada Script	Sanskrit NT in Kannada Script	sankan
India	Saṃskṛtam	Saṃskṛtam	Sanskrit Bible (NT) in Khmer Script	Sanskrit NT in Khmer Script	sankhm
India	Saṃskṛtam	Saṃskṛtam	Sanskrit Bible (NT) in Malayalam Script (സത്യവേദഃ।)	Sanskrit NT in Malayalam Script	sanmal
India	Saṃskṛtam	Saṃskṛtam	0 Sanskrit Bible (NT) in Oriya Script (ସତ୍ୟୱେଦଃ।)	Sanskrit NT in Oriya Script	sanori
India	Saṃskṛtam	Saṃskṛtam	0 Sanskrit Bible (NT) in Punjabi Script (ਸਤ੍ਯਵੇਦਃ।)	Sanskrit NT in Punjabi Script	sanpun
India	Saṃskṛtam	Saṃskṛtam	Sanskrit Bible (NT) in Sinhala Script (සත්‍යවේදඃ।)	Sanskrit NT in Sinhala Script	sansin
India	Saṃskṛtam	Saṃskṛtam	Sanskrit Bible (NT) in Tamil Script	Sanskrit NT in Tamil Script	santam
India	Saṃskṛtam	Saṃskṛtam	Sanskrit Bible (NT) in Telugu Script (సత్యవేదః।)	Sanskrit NT in Telugu Script	santel
India	Saṃskṛtam	Saṃskṛtam	Sanskrit Bible (NT) in Thai Script (สตฺยเวท:ฯ)	Sanskrit NT in Thai Script	santha
India	Saṃskṛtam	Saṃskṛtam	Sanskrit Bible (NT) in Tibetan Script (སཏྱཝེདཿ།)	Sanskrit NT in Tibetan Script	santib
India	Saṃskṛtam	Saṃskṛtam	Sanskrit Bible (NT) in Urdu Script (سَتْیَویدَح۔)	Sanskrit NT in Urdu Script	sanurd
India	Saṃskṛtam	Saṃskṛtam	Sanskrit Bible (NT) in Velthuis Script (satyaveda.h|)	Sanskrit NT in Velthuis Script	sanvel
India	Sanskrit	Sanskrit	Sanskrit Bible (NT) in Cologne Script	New Testament in Sanskrit Language; printed in Cologne Script	sancol
India	Sanskrit	Sanskrit	Sanskrit Bible (NT) in IAST Script (satyavedaḥ|)	New Testament in Sanskrit Language; printed in IAST Script	sanias
India	Sanskrit	Sanskrit	Sanskrit Bible (NT) in Burmese Script (သတျဝေဒး၊)	Sanskrit Language NT in Burmese Script	sanbur
India	Sanskrit	Sanskrit	Sanskrit Bible (NT) in Assamese Script	Sanskrit New Testament in Assamese Script	sanasm
India	Sanskrit	Sanskrit	Sanskrit Bible (NT) in Bengali Script	Sanskrit NT in Bengali Script	sanben
India	Sanskrit	Sanskrit	Sanskrit Bible (NT) in Devanagari Script (सत्यवेदः।)	Sanskrit NT in Devanagari Script	sandev
India	Sanskrit	Sanskrit	Sanskrit Bible (NT) in Gujarati Script	Sanskrit NT in Gujarati Script	sanguj
India	Sanskrit	Sanskrit	Sanskrit Bible (NT) in Harvard-Kyoto Script	Sanskrit NT in Harvard-Kyoto Script	sanhk
India	Sanskrit	Sanskrit	Sanskrit Bible (NT) in ISO Script (satyavēdaḥ|)	Sanskrit NT in ISO Script	saniso
India	Sanskrit	Sanskrit	Sanskrit Bible (NT) in ITRANS Script	Sanskrit NT in ITRANS Script	sanitr
India	Sholaga	Sholaga	ಕ್ಹುದಾನಿ ಕ್ಹರಿನಿ ವಾಕ್ಯಾ	Sholaga NT	sle
India	Tagin	Tagin	ANWNV GAMLV	Tagin first Bible translation based on TEV (Good News)	tgj
